user_id;gender;user_age;weight;height
77215212369251;M;80;62;158
78520642510759;M;67;261;162
553195254579784;M;77;281;189
643701863331829;M;144;119;188
832981840622682;M;104;100;181
1095436753609500;M;107;80;155
1106090257261050;M;51;298;185
1149721623329090;M;107;82;219
1340531402808340;M;38;217;219
1423502656957990;M;59;240;178
1451625939961290;M;53;114;132
1550510041585830;M;114;292;212
1662086802466260;M;17;298;203
1912462881316600;M;81;145;177
2030556792288340;M;111;139;210
2101741945875980;M;17;88;202
2123093412618940;M;55;293;194
2211538646382000;M;88;261;141
2447951313092940;M;100;206;180
2525250809556120;M;18;204;182
2818230465916080;M;67;257;156
2881743924020330;M;117;290;191
2884660102257970;M;38;97;181
2944314093300460;M;27;127;144
3112240197739020;M;123;208;193
3244414558285890;M;140;54;172
3339587888262240;M;131;82;161
3367789769776590;M;115;90;184
3417582320219700;M;50;124;217
3670981486862750;M;112;116;153
3788569971889830;M;34;162;177
3811473082001730;M;133;121;134
3858251647217940;M;142;264;171
3866066369281850;M;149;296;163
3889180466820620;M;127;278;153
3894099634498670;M;59;296;136
4224034727851660;M;21;245;205
4240804202787340;M;31;146;133
4480102872985760;M;32;83;210
4513067468410390;M;78;72;193
4552453957427540;M;60;183;217
4729274586649120;M;116;288;162
4791061239009840;M;82;60;139
4901810356524190;M;113;246;143
4960347249849090;M;82;197;215
5082127623837670;M;92;220;208
5116633422296930;M;145;94;192
5161436162322850;M;81;276;175
5176173243270750;M;40;126;171
5240349846454520;M;86;286;157
5361143928442070;M;113;61;138
5378436629381980;M;134;261;163
5395320640738610;M;54;69;159
5426154138087690;M;145;67;180
6229466268025690;M;88;89;179
6342016150923020;M;137;175;150
6433955607820670;M;70;237;207
6476895893418710;M;108;163;171
6538520437978280;M;46;59;177
6649246260681380;M;106;87;157
6681571446460790;M;33;282;174
6737478143938540;M;79;235;209
6751337589566840;M;130;180;166
6798509583162660;M;54;280;189
6814252251049320;M;95;273;141
6846443360302290;M;99;146;175
6977277219217770;M;96;250;165
7021984197242660;M;84;56;134
7057452122266000;M;104;151;171
7202375084835220;M;92;187;181
7249381231402000;M;139;292;159
7306665794220790;M;39;67;203
7318767945908340;M;39;269;144
7344494214154270;M;54;269;135
7459898820148680;M;128;98;143
7536904239991960;M;59;130;173
7659404808879890;M;64;294;131
7683175894242310;M;15;176;193
7692887439965090;M;117;202;181
7781921475248140;M;63;249;178
7881191091328780;M;68;138;174
7942009332855870;M;30;193;130
8104037064291050;M;123;275;194
8156108982714930;M;99;85;142
8168499446346310;M;80;238;139
8243338910257770;M;100;50;138
8490247372678570;M;143;181;187
8577779346448840;M;62;54;152
8640374512332750;M;44;94;153
8651343518840750;M;144;175;219
8856758099375160;M;83;81;139
8919620744733790;M;78;219;169
8944699021154080;M;129;297;199
9077979713210880;M;30;156;195
9126243582169820;M;95;294;180
9197834176616510;M;132;132;176
9280978144296370;M;145;179;131
9289007095374630;M;68;114;213
9337966839381170;M;25;217;162
9389184540147470;M;32;272;178
9393082395950140;M;70;115;207
9418424155948110;M;124;246;186
9470789941739930;M;121;60;140
9488598798026920;M;23;176;172
9556873535158300;M;120;237;166
9780136726016580;M;131;298;133
9803491344520080;M;22;178;156
9912256191445210;M;45;116;209
9932639611698940;M;18;190;166
10369863879749900;M;119;184;203
10584023415175800;M;100;268;168
10880727674890500;M;133;51;179
11065611116878500;M;23;164;193
11129870995340200;M;150;151;196
11374427187694300;M;103;169;189
11652344790860800;M;114;178;217
11745141813159500;M;32;128;140
11795192567825700;M;121;82;194
11970898488437400;M;29;284;160
12120483091182600;M;111;218;186
12307216753881900;M;34;91;199
12314912933587100;M;102;60;141
12345427377467700;M;67;244;163
12345645993390200;M;141;250;191
12367086500060800;M;89;190;164
12391491249371600;M;66;212;134
12396460066184900;M;124;158;217
12405324457848600;M;98;74;168
12411090507895400;M;101;298;142
12418211465150100;M;150;155;138
12689220147480700;M;24;245;182
12857333461405500;M;114;134;185
12929278638001200;M;134;76;139
13173613017738500;M;100;85;212
13424774308787200;M;150;56;158
13437646475531600;M;108;126;219
13510497745100400;M;41;91;152
13549667915855100;M;124;300;216
13738512782740400;M;48;134;152
13956115035689400;M;46;288;165
14007226062606100;M;112;228;179
14223973489130100;M;73;193;209
14497278128192000;M;72;72;137
14537439462600100;M;94;211;138
14616274018126800;M;100;258;212
14625656501863800;M;145;74;183
14676415327745900;M;102;161;191
15057288330483600;M;116;111;214
15113322927287100;M;143;142;155
15286531930248500;M;145;92;148
15388268140836700;M;115;230;207
15761340133442700;M;126;257;136
15837957369796100;M;100;202;162
15920699393557600;M;148;66;141
15952707749553400;M;35;104;152
15952926941103500;M;137;201;174
15955827194084700;M;61;249;186
15972037689741900;M;26;203;146
15998763628894700;M;52;127;160
16091525742298200;M;110;240;168
16095343503408700;M;64;141;200
16227301581039200;M;120;128;191
16259254883597900;M;46;51;177
16372358721813200;M;103;128;157
16414665243990200;M;25;107;214
16447847487421000;M;43;203;161
16481581476686600;M;73;256;168
16729755806855400;M;51;153;179
16786764693956400;M;61;131;188
16837610306172100;M;71;246;194
16849402130581400;M;85;227;194
17112363451718500;M;134;293;183
17187930811229400;M;70;153;131
17207784227782400;M;121;250;167
17278766947032100;M;101;252;162
17299205205867800;M;143;210;133
17387009705435100;M;21;215;136
17419609422723300;M;138;194;140
17435702920785400;M;140;92;205
17480163141503900;M;17;115;162
17629731378015000;M;100;166;149
17653424896073100;M;101;296;169
17753587716837000;M;133;169;176
